ibra7_reg,ibra7_reg_name ,Jurisdiction(s),IBRA Area (ha),2010 Protected Area (ha),2010 Percent Protected (% IBRA),2010 Contribution to NRS (% Total),2012 Protected Area (ha),2012 Percent Protected (% IBRA),2012 Contribution to NRS (% Total),2014 Protected Area (ha),2014 Percent Protected (% IBRA),2014 Contribution to NRS (% Total)
SAI,Subantarctic Islands,TAS,49164,12400,25.22,0.01,12400,25.22,0.01,12400,25.22,0.01
SWA,Swan Coastal Plain,WA,1525798,164345,10.77,0.16,164527,10.78,0.14,164813,10.8,0.12
SYB,Sydney Basin,NSW,3629597,1450545,39.96,1.41,1453980,40.06,1.22,1454040,40.06,1.06
TAN,Tanami,"NT, WA",25997277,4436964,17.07,4.3,11646994,44.8,9.74,11582870,44.55,8.46
TCH,Tasmanian Central Highlands,TAS,767849,435351,56.7,0.42,446149,58.1,0.37,453163,59.02,0.33
TNM,Tasmanian Northern Midlands,TAS,415445,25327,6.1,0.02,26386,6.35,0.02,26742,6.44,0.02
TNS,Tasmanian Northern Slopes,TAS,623103,87611,14.06,0.08,89239,14.32,0.07,89180,14.31,0.07
TSE,Tasmanian South East,TAS,1131822,176233,15.57,0.17,178729,15.79,0.15,180267,15.93,0.13
TSR,Tasmanian Southern Ranges,TAS,757228,316571,41.81,0.31,319442,42.19,0.27,414201,54.7,0.3
TWE,Tasmanian West,TAS,1565077,1325215,84.67,1.28,1344278,85.89,1.12,1349558,86.23,0.99
TIW,Tiwi Cobourg,NT,1010580,204812,20.27,0.2,204363,20.22,0.17,204363,20.22,0.15
VIB,Victoria Bonaparte,"NT, WA",7301242,1107785,15.17,1.07,1114316,15.26,0.93,1302392,17.84,0.95
VIM,Victorian Midlands,VIC,3469789,378917,10.92,0.37,422709,12.18,0.35,380335,10.96,0.28
WAR,Warren,WA,844771,393873,46.62,0.38,395547,46.82,0.33,395593,46.83,0.29
WET,Wet Tropics,QLD,1989107,1046209,52.6,1.01,989401,49.74,0.83,1275103,64.1,0.93
YAL,Yalgoo,WA,5087577,1650065,32.43,1.6,1650065,32.43,1.38,1650065,32.43,1.21
