ibra7_sub,ibra7_sub_name,Jurisdiction(s),Subregion Area (ha),2010 Protected Area (ha),2010 Percent Protected (% IBRA),2010 Contribution to NRS (% Total),2012 Protected Area (ha),2012 Percent Protected (% IBRA),2012 Contribution to NRS (% Total),2014 Protected Area (ha),2014 Percent Protected (% IBRA),2014 Contribution to NRS (% Total)
BBN13,South Drummond Basin,QLD,1009244,22184,2.2,0.02,22123,2.19,0.02,21472,2.13,0.02
BBN14,Marlborough Plains,QLD,1250611,35360,2.83,0.03,35073,2.8,0.03,38047,3.04,0.03
BBS01,Claude River Downs,QLD,1026214,131252,12.79,0.13,131253,12.79,0.11,131295,12.79,0.1
BBS02,Woorabinda,QLD,749785,59676,7.96,0.06,59675,7.96,0.05,594366,79.27,0.43
BBS03,Boomer Range,QLD,220541,25436,11.53,0.02,25436,11.53,0.02,25436,11.53,0.02
BBS04,Mount Morgan Ranges,QLD,1275970,28381,2.22,0.03,19392,1.52,0.02,19412,1.52,0.01
BBS05,Callide Creek Downs,QLD,301303,727,0.24,0,591,0.2,0,591,0.2,0
BBS06,Arcadia,QLD,715288,129178,18.06,0.12,115404,16.13,0.1,115404,16.13,0.08
BBS07,Dawson River Downs,QLD,982807,12736,1.3,0.01,12787,1.3,0.01,12792,1.3,0.01
BBS08,Banana-Auburn Ranges,QLD,1547555,12247,0.79,0.01,12247,0.79,0.01,12247,0.79,0.01
BBS09,Buckland Basalts,QLD,281306,118509,42.13,0.11,118508,42.13,0.1,118873,42.26,0.09
BBS10,Carnarvon Ranges,QLD,2263686,436884,19.3,0.42,341776,15.1,0.29,342052,15.11,0.25
BBS11,Taroom Downs,QLD,652005,576,0.09,0,569,0.09,0,569,0.09,0
BBS12,Southern Downs,QLD,4264666,97669,2.29,0.09,97268,2.28,0.08,97276,2.28,0.07
BBS13,Barakula,QLD,1301712,5277,0.41,0.01,5278,0.41,0,7828,0.6,0.01
BBS14,Dulacca Downs,QLD,162442,0,0,0,0,0,0,0,0,0
BBS15,Weribone High,QLD,966510,1162,0.12,0,1149,0.12,0,1149,0.12,0
BBS16,Tara Downs,QLD,511339,864,0.17,0,864,0.17,0,864,0.17,0
BBS17,Eastern Darling Downs,QLD,1697945,5819,0.34,0.01,5992,0.35,0.01,6001,0.35,0
BBS18,Inglewood Sandstones,QLD,1219008,5351,0.44,0.01,16453,1.35,0.01,16452,1.35,0.01
BBS19,Moonie-Commoron Floodout,QLD,750661,9327,1.24,0.01,9331,1.24,0.01,9331,1.24,0.01
BBS20,Moonie-Barwon Interfluve,QLD,765231,558,0.07,0,558,0.07,0,557,0.07,0
BBS21,Northern Basalts,NSW,624671,44510,7.13,0.04,44480,7.12,0.04,44480,7.12,0.03
BBS22,Northern Outwash,NSW,700241,2153,0.31,0,2140,0.31,0,2140,0.31,0
BBS23,Pilliga Outwash,NSW,535392,83995,15.69,0.08,84670,15.81,0.07,84657,15.81,0.06
BBS24,Pilliga,NSW,1732137,276905,15.99,0.27,280766,16.21,0.23,281222,16.24,0.21
BBS25,Liverpool Plains,NSW,941752,12092,1.28,0.01,12059,1.28,0.01,12059,1.28,0.01
BBS26,Liverpool Range,NSW,521960,19986,3.83,0.02,21615,4.14,0.02,21615,4.14,0.02
BBS27,Talbragar Valley,NSW,203894,3567,1.75,0,4125,2.02,0,4125,2.02,0
BBS28,Narrandool,NSW,303754,23153,7.62,0.02,23153,7.62,0.02,23153,7.62,0.02
BEL01,Ben Lomond,TAS,657500,103911,15.8,0.1,105442,16.04,0.09,105831,16.1,0.08
BHC01,Barrier Range,SA,1802996,85752,4.76,0.08,85753,4.76,0.07,46132,2.56,0.03
BHC02,Mootwingee Downs,NSW,630694,69398,11,0.07,69397,11,0.06,69416,11.01,0.05
BHC03,Scopes Range,NSW,260806,0,0,0,0,0,0,0,0,0
BHC04,Barrier Range Outwash,"NSW, SA",1954973,16267,0.83,0.02,16268,0.83,0.01,7848,0.4,0.01
BHC05,Bimbowrie,SA,279258,91785,32.87,0.09,91785,32.87,0.08,87768,31.43,0.06
BHC06,Curnamona,SA,706696,614,0.09,0,614,0.09,0,614,0.09,0
BRT01,Yuendumu,NT,2931061,86,0,0,361527,12.33,0.3,361526,12.33,0.26
BRT02,Atartinga,NT,3531111,14,0,0,19768,0.56,0.02,112463,3.18,0.08
BRT03,Mount Chapple,NT,390981,0,0,0,0,0,0,0,0,0
BRT04,Dulcie,NT,526567,19112,3.63,0.02,19112,3.63,0.02,18777,3.57,0.01
CAR01,Cape Range,WA,2380498,369637,15.53,0.35,369606,15.53,0.31,369809,15.53,0.27
CAR02,Wooramel,WA,6049674,594367,9.82,0.57,594366,9.82,0.5,0,0,0
CEA01,Wilton,NT,3137973,262736,8.37,0.25,262712,8.37,0.22,262712,8.37,0.19
CEA02,Parson,NT,324460,0,0,0,0,0,0,0,0,0
CEK01,Pentecost,WA,4397260,827043,18.81,0.79,827043,18.81,0.69,2043070,46.46,1.49
CEK02,Hart,WA,2324667,0,0,0,0,0,0,0,0,0
CEK03,Mount Eliza,WA,953661,75248,7.89,0.07,75248,7.89,0.06,79448,8.33,0.06
CER01,Mann-Musgrave Block,"SA, WA",9214685,4997919,54.24,4.79,5319027,57.72,4.45,5319027,57.72,3.88
CER02,Watarru,SA,423360,312514,73.82,0.3,312513,73.82,0.26,312513,73.82,0.23
CER03,Everard Block,SA,525998,0,0,0,176244,33.51,0.15,176244,33.51,0.13
CHC01,Toko Plains,QLD,2825712,305360,10.81,0.29,305344,10.81,0.26,305346,10.81,0.22
CHC02,Sturt Stony Desert,"NSW, QLD, SA",8945360,533662,5.97,0.51,541695,6.06,0.45,541695,6.06,0.4
CHC03,Goneaway Tablelands,QLD,5182219,323243,6.24,0.31,326148,6.29,0.27,326472,6.3,0.24
CHC04,Diamantina-Eyre,"QLD, SA",1456544,0,0,0,0,0,0,0,0,0
CHC05,Cooper-Diamantina Plains,QLD,4136121,218314,5.28,0.21,219417,5.3,0.18,219417,5.3,0.16
CHC06,Coongie,SA,1736594,807908,46.52,0.77,807924,46.52,0.68,807924,46.52,0.59
CHC07,Lake Pure,SA,1204027,186095,15.46,0.18,186134,15.46,0.16,186134,15.46,0.14
CHC08,Noccundra Slopes,QLD,1798759,0,0,0,13938,0.77,0.01,13938,0.77,0.01
CHC10,Core Ranges,NSW,139224,8842,6.35,0.01,8739,6.28,0.01,8739,6.28,0.01
CHC11,Bulloo,"QLD, NSW",1077480,0,0,0,224274,20.81,0.19,224274,20.81,0.16
CHC12,Bulloo Dunefields,"QLD, NSW",1326712,0,0,0,0,0,0,0,0,0
CHC13,Central Depression,NSW,580685,0,0,0,0,0,0,0,0,0
CMC01,Whitsunday,QLD,89179,60880,68.27,0.06,65307,73.23,0.05,65240,73.16,0.05
CMC02,Proserpine-Sarina Lowlands,QLD,466498,18606,3.99,0.02,17912,3.84,0.01,18087,3.88,0.01
CMC03,Clarke-Connors Ranges,QLD,631985,67298,10.65,0.06,66609,10.54,0.06,66689,10.55,0.05
CMC04,Byfield,QLD,127697,8090,6.34,0.01,7824,6.13,0.01,7831,6.13,0.01
CMC05,Manifold,QLD,67885,12069,17.78,0.01,12119,17.85,0.01,12119,17.85,0.01
CMC06,Debella,QLD,80964,4660,5.76,0,4598,5.68,0,4598,5.68,0
COO01,Mardabilla,WA,1843125,235790,12.79,0.23,235790,12.79,0.2,235835,12.8,0.17
COO02,Southern Cross,WA,6010838,997464,16.59,0.96,996216,16.57,0.83,996262,16.57,0.73
COO03,Eastern Goldfield,WA,5058246,383278,7.58,0.37,385166,7.61,0.32,385176,7.61,0.28
COP01,Boorindal Plains,NSW,400236,44952,11.23,0.04,44952,11.23,0.04,44937,11.23,0.03
COP02,Barnato Downs,NSW,1773542,46208,2.61,0.04,72259,4.07,0.06,72304,4.08,0.05
COP03,Canbelego Downs,NSW,2001425,42793,2.14,0.04,42793,2.14,0.04,42730,2.13,0.03
COP04,Nymagee,NSW,2070061,30571,1.48,0.03,32215,1.56,0.03,32215,1.56,0.02
COP05,Lachlan Plains,NSW,1140082,13467,1.18,0.01,14768,1.3,0.01,14768,1.3,0.01
COS01,Coral Sea,EXT,17167,7735,45.06,0.01,0,0,0,0,0,0
CYP01,Coen-Yambo Inlier,QLD,2312126,506309,21.9,0.48,788689,34.11,0.66,800600,34.63,0.58
CYP02,Starke Coastal Lowlands,QLD,512498,150776,29.42,0.14,146956,28.67,0.12,150177,29.3,0.11
CYP03,Cape York-Torres Strait,QLD,94367,562,0.6,0,538,0.57,0,581,0.62,0
CYP04,Jardine-Pascoe Sandstones,QLD,1444223,439892,30.46,0.42,459034,31.78,0.38,537656,37.23,0.39
CYP05,Battle Camp Sandstones,QLD,504409,142299,28.21,0.14,142173,28.19,0.12,141757,28.1,0.1
CYP06,Laura Lowlands,QLD,1791228,726709,40.57,0.7,879436,49.1,0.74,847161,47.29,0.62
CYP07,Weipa Plateau,QLD,2848753,544083,19.1,0.52,666333,23.39,0.56,792478,27.82,0.58
CYP08,Northern Holroyd Plain,QLD,2464074,221786,9,0.21,351660,14.27,0.29,351660,14.27,0.26
CYP09,Coastal Plains,QLD,284780,76309,26.8,0.07,77010,27.04,0.06,77010,27.04,0.06
DAB01,Daly Basin,NT,2092229,195020,9.32,0.19,195020,9.32,0.16,219033,10.47,0.16
DAC01,Darwin Coastal,NT,2843199,828223,29.13,0.79,895460,31.49,0.75,882084,31.02,0.64
DAL01,Fitzroy Trough,WA,3432084,57710,1.68,0.06,57741,1.68,0.05,60433,1.76,0.04
DAL02,Pindanland,WA,4928787,28337,0.57,0.03,41105,0.83,0.03,1036200,21.02,0.76
DEU01,Prairie-Torrens Creeks Alluvials,QLD,1580384,40505,2.56,0.04,40505,2.56,0.03,40505,2.56,0.03
DEU02,Alice Tableland,QLD,2866760,125364,4.37,0.12,125331,4.37,0.1,131750,4.6,0.1
DEU03,Cape-Campaspe Plains,QLD,1007026,13693,1.36,0.01,13693,1.36,0.01,13693,1.36,0.01
DEU04,Jericho,QLD,1486926,35281,2.37,0.03,35278,2.37,0.03,35278,2.37,0.03
DMR01,Ashburton Range,NT,1218621,224,0.02,0,224,0.02,0,209,0.02,0
DMR02,Davenport,NT,1589590,113815,7.16,0.11,129622,8.15,0.11,129622,8.15,0.09
DMR03,Barkly,NT,2996897,0,0,0,0,0,0,0,0,0
DRP01,Culgoa-Bokhara,"NSW, QLD, SA",1354799,56177,4.15,0.05,60249,4.45,0.05,60220,4.44,0.04
DRP02,Warrambool-Moonie,"QLD, NSW",1151637,0,0,0,12076,1.05,0.01,12118,1.05,0.01
DRP03,Castlereagh-Barwon,NSW,4500355,17213,0.38,0.02,26471,0.59,0.02,26470,0.59,0.02
DRP04,Bogan-Macquarie,NSW,1999951,25031,1.25,0.02,30152,1.51,0.03,30152,1.51,0.02
DRP05,Louth Plains,NSW,276573,58150,21.03,0.06,51514,18.63,0.04,51511,18.62,0.04
DRP06,Wilcannia Plains,NSW,504562,56241,11.15,0.05,56241,11.15,0.05,56828,11.26,0.04
DRP07,Menindee,NSW,653935,44006,6.73,0.04,44006,6.73,0.04,43999,6.73,0.03
DRP08,Great Darling Anabranch,NSW,147138,2779,1.89,0,2779,1.89,0,2779,1.89,0
DRP09,Pooncarie-Darling,NSW,110819,0,0,0,0,0,0,0,0,0
EIU01,Georgetown-Croydon,QLD,1041407,8130,0.78,0.01,95693,9.19,0.08,97754,9.39,0.07
EIU02,Kidston,QLD,2929528,65484,2.24,0.06,161819,5.52,0.14,155142,5.3,0.11
EIU03,Hodgkinson Basin,QLD,1607221,105238,6.55,0.1,102501,6.38,0.09,102520,6.38,0.07
EIU04,Broken River,QLD,3309590,58483,1.77,0.06,75999,2.3,0.06,99799,3.02,0.07
EIU05,Undara-Toomba Basalts,QLD,2076208,190520,9.18,0.18,191736,9.23,0.16,206642,9.95,0.15
EIU06,Herberton-Wairuna,QLD,661771,147314,22.26,0.14,143310,21.66,0.12,179889,27.18,0.13
ESP01,Fitzgerald,WA,1577938,439097,27.83,0.42,439145,27.83,0.37,439179,27.83,0.32
ESP02,Recherche,WA,1343390,404115,30.08,0.39,404267,30.09,0.34,404141,30.08,0.3
EYB01,Southern Yorke,SA,438470,30082,6.86,0.03,30082,6.86,0.03,30179,6.88,0.02
EYB02,St Vincent,SA,1093789,8306,0.76,0.01,8306,0.76,0.01,8339,0.76,0.01
EYB03,Eyre Hills,SA,1172576,154290,13.16,0.15,157759,13.45,0.13,157928,13.47,0.12
EYB04,Talia,SA,1096175,208905,19.06,0.2,212240,19.36,0.18,212404,19.38,0.16
EYB05,Eyre Mallee,SA,2319398,479010,20.65,0.46,487402,21.01,0.41,488413,21.06,0.36
FIN01,Henbury,NT,2257063,233401,10.34,0.22,551123,24.42,0.46,233438,10.34,0.17
FIN02,Finke River,NT,1601516,68520,4.28,0.07,129646,8.1,0.11,68520,4.28,0.05
FIN03,Tieyon,NT,2505610,0,0,0,3729,0.15,0,3729,0.15,0
FIN04,Pedirka,NT,903228,0,0,0,0,0,0,0,0,0
FLB01,Mount Lofty Ranges,SA,300580,16024,5.33,0.02,15973,5.31,0.01,16078,5.35,0.01
FLB02,Broughton,SA,1032918,4871,0.47,0,5349,0.52,0,4902,0.47,0
FLB03,Olary Spur,SA,1745479,15290,0.88,0.01,15290,0.88,0.01,15290,0.88,0.01
FLB04,Southern Flinders,SA,728317,26786,3.68,0.03,26831,3.68,0.02,26919,3.7,0.02
FLB05,Northern Flinders,SA,1846804,404392,21.9,0.39,405403,21.95,0.34,405403,21.95,0.3
FLB06,Central Flinders,SA,961667,98468,10.24,0.09,100545,10.46,0.08,111417,11.59,0.08
FUR01,Wilsons Promontory,"TAS, VIC",41144,40892,99.39,0.04,84158,204.54,0.07,41078,99.84,0.03
FUR02,Flinders,TAS,496398,136579,27.51,0.13,146114,29.43,0.12,146182,29.45,0.11
GAS01,Ashburton,WA,3687030,394044,10.69,0.38,394044,10.69,0.33,394044,10.69,0.29
GAS02,Carnegie,WA,4718656,468161,9.92,0.45,468161,9.92,0.39,1301766,27.59,0.95
GAS03,Augustus,WA,9669571,993494,10.27,0.95,993491,10.27,0.83,993491,10.27,0.73
GAW01,Myall Plains,SA,1088767,105565,9.7,0.1,105656,9.7,0.09,112465,10.33,0.08
GAW02,Gawler Volcanics,SA,1556182,112835,7.25,0.11,189592,12.18,0.16,189592,12.18,0.14
GAW03,Gawler Lakes,SA,2049193,551024,26.89,0.53,551024,26.89,0.46,551024,26.89,0.4
GAW04,Arcoona Plateau,SA,1089865,1789,0.16,0,1789,0.16,0,1789,0.16,0
GAW05,Kingoonya,SA,1922414,156990,8.17,0.15,156991,8.17,0.13,156991,8.17,0.11
GAW06,Torrens,SA,1439093,730800,50.78,0.7,730800,50.78,0.61,730800,50.78,0.53
GAW07,Roxby,SA,1409305,142809,10.13,0.14,142809,10.13,0.12,142809,10.13,0.1
GAW08,Commonwealth Hill,SA,1448062,12273,0.85,0.01,12267,0.85,0.01,12267,0.85,0.01
GES01,Geraldton Hills,WA,1969997,356352,18.09,0.34,357038,18.12,0.3,357278,18.14,0.26
GES02,Lesueur Sandplain,WA,1172152,210523,17.96,0.2,210525,17.96,0.18,210528,17.96,0.15
GFU01,McArthur,"NT, QLD",9330938,1340299,14.36,1.28,1095221,11.74,0.92,1093737,11.72,0.8
GFU02,Nicholson,NT,2516971,0,0,0,0,0,0,0,0,0
GID01,Lateritic Plain,WA,12714805,3697241,29.08,3.54,3697526,29.08,3.09,6213228,48.87,4.54
GID02,Dune Field,WA,2914114,1877633,64.43,1.8,1884105,64.65,1.58,2913152,99.97,2.13
GSD01,McLarty,WA,12316754,1018690,8.27,0.98,1018244,8.27,0.85,2583410,20.97,1.89
GSD02,Mackay,"NT, WA",25698395,2219511,8.64,2.13,4737440,18.43,3.96,6562035,25.53,4.79
GSD03,Ehrenberg,NT,375668,0,0,0,0,0,0,0,0,0
GSD04,Amedeus,NT,722845,0,0,0,0,0,0,0,0,0
GSD05,Lake Bennett,NT,289541,77178,26.66,0.07,137834,47.6,0.12,137834,47.6,0.1
GSD06,Lake Lewis,NT,82932,0,0,0,0,0,0,0,0,0
GUC01,Limmen,NT,2644171,485240,18.35,0.46,502748,19.01,0.42,502748,19.01,0.37
GUC02,Pellews,NT,67547,5334,7.9,0.01,72300,107.04,0.06,66966,99.14,0.05
GUP01,Karumba Plains,QLD,1057366,13436,1.27,0.01,70623,6.68,0.06,220027,20.81,0.16
GUP02,Armraynald Plains,QLD,1589437,11123,0.7,0.01,11123,0.7,0.01,11123,0.7,0.01
GUP03,Woondoola Plains,QLD,2375110,0,0,0,0,0,0,59675,2.51,0.04
GUP04,Mitchell-Gilbert Fans,QLD,5262816,351435,6.68,0.34,528127,10.04,0.44,530171,10.07,0.39
GUP05,Claraville Plains,QLD,3738013,261,0.01,0,261,0.01,0,283,0.01,0
GUP06,Holroyd Plain-Red Plateau,QLD,2208468,184275,8.34,0.18,229847,10.41,0.19,229847,10.41,0.17
GUP07,Doomadgee Plains,"QLD, NT",1831823,0,0,0,0,0,0,39778,2.17,0.03
GUP08,Donors Plateau,QLD,2449964,4792,0.2,0,4739,0.19,0,4753,0.19,0
GUP09,Gilberton Plateau,QLD,1403937,23400,1.67,0.02,200376,14.27,0.17,213731,15.22,0.16
GUP10,Wellesley Islands,QLD,124893,0,0,0,0,0,0,124893,100,0.09
GVD01,Shield,WA,4741854,332467,7.01,0.32,332469,7.01,0.28,332469,7.01,0.24
GVD02,Central,WA,12590867,1746251,13.87,1.67,1745870,13.87,1.46,1745870,13.87,1.28
GVD03,Maralinga,"SA, WA",11460762,3322872,28.99,3.18,3531105,30.81,2.95,3531105,30.81,2.58
GVD04,Kintore,"SA, WA",4961542,1978474,39.88,1.89,3048256,61.44,2.55,3048256,61.44,2.23
GVD05,Tallaringa,SA,3663149,1456748,39.77,1.4,1628024,44.44,1.36,1628024,44.44,1.19
GVD06,Yellabinna,SA,4828389,2650796,54.9,2.54,2651503,54.91,2.22,2651503,54.91,1.94
HAM01,Hampton,"SA, WA",1088198,159337,14.64,0.15,159337,14.64,0.13,159337,14.64,0.12
ITI01,Christmas Island,EXT,13664,8541,62.51,0.01,8541,62.51,0.01,8541,62.51,0.01
ITI02,Cocos Islands,EXT,1463,133,9.11,0,133,9.11,0,133,9.11,0
ITI03,Timor Sea Coral Islands,WA,12203,16,0.13,0,16,0.13,0,16,0.13,0
JAF01,Northern Jarrah Forest,WA,1898799,184067,9.69,0.18,197066,10.38,0.16,197329,10.39,0.14
JAF02,Southern Jarrah Forest,WA,2610275,443963,17.01,0.43,444462,17.03,0.37,444461,17.03,0.32
KAN01,Kangaroo Island,SA,441685,148146,33.54,0.14,148146,33.54,0.12,148886,33.71,0.11
KAN02,Fleurieu,SA,370730,17797,4.8,0.02,17808,4.8,0.01,18181,4.9,0.01
KIN01,King,TAS,425566,76346,17.94,0.07,83487,19.62,0.07,83936,19.72,0.06
LSD01,Rudall,WA,991277,370286,37.35,0.35,370286,37.35,0.31,370286,37.35,0.27
LSD02,Trainor,WA,10098580,143753,1.42,0.14,143753,1.42,0.12,4868948,48.21,3.56
MAC01,McDonnell,NT,1483959,398317,26.84,0.38,402690,27.14,0.34,399202,26.9,0.29
MAC02,Watarrka,NT,1092782,140423,12.85,0.13,292222,26.74,0.24,156823,14.35,0.11
MAC03,Hartz Range,NT,1352702,19191,1.42,0.02,19180,1.42,0.02,18295,1.35,0.01
MAL01,Eastern Mallee,WA,3415839,934755,27.37,0.9,934755,27.37,0.78,934895,27.37,0.68
MAL02,Western Mallee,WA,3981720,397956,9.99,0.38,398257,10,0.33,398447,10.01,0.29
MDD01,South Olary Plain,"NSW, SA, VIC",5439224,1120976,20.61,1.07,811601,14.92,0.68,813549,14.96,0.59
MDD02,Murray Mallee,"SA, VIC",5037583,563353,11.18,0.54,707486,14.04,0.59,566071,11.24,0.41
MDD03,Murray Lakes and Coorong,SA,249191,42749,17.16,0.04,42749,17.16,0.04,42775,17.17,0.03
MDD04,Lowan Mallee,"SA, VIC",2391719,1322144,55.28,1.27,1743743,72.91,1.46,1321785,55.27,0.97
MDD05,Wimmera,"SA, VIC",2145380,47963,2.24,0.05,49372,2.3,0.04,48395,2.26,0.04
MDD06,Darling Depression,NSW,3662438,235300,6.42,0.23,242307,6.62,0.2,242307,6.62,0.18
MDD07,Braemer,SA,1032815,3488,0.34,0,3488,0.34,0,3488,0.34,0
MGD01,Sylvester,NT,1153283,0,0,0,0,0,0,0,0,0
MGD02,Barkly Tableland,"NT, QLD",9479612,167983,1.77,0.16,167982,1.77,0.14,168011,1.77,0.12
MGD03,Georgina Limestone,QLD,2292026,9351,0.41,0.01,9352,0.41,0.01,9352,0.41,0.01
MGD04,Southwestern Downs,QLD,3715454,290235,7.81,0.28,290477,7.82,0.24,290509,7.82,0.21
MGD05,Kynuna Plateau,QLD,2293311,0,0,0,2101,0.09,0,2101,0.09,0
MGD06,Northern Downs,QLD,435263,0,0,0,0,0,0,0,0,0
MGD07,Central Downs,QLD,9378817,24869,0.27,0.02,59482,0.63,0.05,59482,0.63,0.04
MGD08,Southern Wooded Downs,QLD,4720995,32678,0.69,0.03,32678,0.69,0.03,33496,0.71,0.02
MII01,Southwestern Plateaus and Floodouts,QLD,1333519,11372,0.85,0.01,11372,0.85,0.01,11348,0.85,0.01
MII02,Thorntonia,QLD,802892,168505,20.99,0.16,168506,20.99,0.14,168425,20.98,0.12
MII03,Mount Isa,QLD,4641851,14353,0.31,0.01,6557,0.14,0.01,192403,4.14,0.14
MUL01,West Balonne Plains,QLD,1991194,26835,1.35,0.03,26835,1.35,0.02,26835,1.35,0.02
MUL02,Eastern Mulga Plains,QLD,1563269,27781,1.78,0.03,27781,1.78,0.02,27781,1.78,0.02
MUL03,Nebine Plains,"NSW, QLD",1898731,93028,4.9,0.09,115487,6.08,0.1,115487,6.08,0.08
MUL04,North Eastern Plains,QLD,660369,0,0,0,0,0,0,0,0,0
MUL05,Warrego Plains,"NSW, QLD",2492085,63322,2.54,0.06,80446,3.23,0.07,80451,3.23,0.06
MUL06,Langlo Plains,QLD,1290484,15847,1.23,0.02,28810,2.23,0.02,28812,2.23,0.02
MUL07,Cuttaburra-Paroo,"NSW, QLD",1703985,192186,11.28,0.18,192187,11.28,0.16,192318,11.29,0.14
MUL08,West Warrego,"NSW, QLD",4790087,61028,1.27,0.06,64288,1.34,0.05,63843,1.33,0.05
MUL09,Northern Uplands,QLD,1147549,274560,23.93,0.26,274442,23.92,0.23,280962,24.48,0.21
MUL10,West Bulloo,QLD,2852104,0,0,0,0,0,0,0,0,0
MUL11,Urisino Sandplains,"NSW, QLD",2007350,21799,1.09,0.02,21799,1.09,0.02,21748,1.08,0.02
MUL12,Warrego Sands,NSW,479471,30862,6.44,0.03,30516,6.36,0.03,30365,6.33,0.02
MUL13,Kerribree Basin,NSW,399576,0,0,0,0,0,0,0,0,0
MUL14,White Cliffs Plateau,NSW,1074309,60463,5.63,0.06,61267,5.7,0.05,61310,5.71,0.04
MUL15,Paroo Overflow,NSW,301217,10480,3.48,0.01,10487,3.48,0.01,60179,19.98,0.04
MUL16,Paroo-Darling Sands,NSW,536556,60045,11.19,0.06,60116,11.2,0.05,10487,1.95,0.01
MUR01,Eastern Murchison,WA,21135040,1438281,6.81,1.38,1435572,6.79,1.2,1434806,6.79,1.05
MUR02,Western Murchison,WA,6985514,440933,6.31,0.42,440933,6.31,0.37,440933,6.31,0.32
NAN01,Nandewar Northern Complex,"NSW, QLD",962254,25534,2.65,0.02,27883,2.9,0.02,27885,2.9,0.02
NAN02,Inverell Basalts,NSW,230854,1668,0.72,0,1668,0.72,0,1668,0.72,0
NAN03,Kaputar,NSW,78307,37321,47.66,0.04,37321,47.66,0.03,37321,47.66,0.03
NAN04,Peel,NSW,1430562,20994,1.47,0.02,23123,1.62,0.02,23123,1.62,0.02
NCP01,Bridgewater,"SA, VIC",463723,51075,11.01,0.05,51289,11.06,0.04,51078,11.01,0.04
NCP02,Glenelg Plain,"SA, VIC",554775,66615,12.01,0.06,70737,12.75,0.06,66670,12.02,0.05
NCP03,Lucindale,SA,731656,30062,4.11,0.03,30353,4.15,0.03,30353,4.15,0.02
NCP04,Tintinara,SA,708061,87250,12.32,0.08,87250,12.32,0.07,87269,12.33,0.06
NET01,Bundarra Downs,NSW,151867,2689,1.77,0,2689,1.77,0,2689,1.77,0
NET02,Beardy River Hills,NSW,24625,12,0.05,0,12,0.05,0,12,0.05,0
NET03,Walcha Plateau,NSW,473825,51319,10.83,0.05,52072,10.99,0.04,52068,10.99,0.04
NET04,Armidale Plateau,NSW,290577,9243,3.18,0.01,9243,3.18,0.01,9243,3.18,0.01
NET05,Wongwibinda Plateau,NSW,106929,20031,18.73,0.02,20031,18.73,0.02,20065,18.77,0.01
NET06,Deepwater Downs,NSW,97773,195,0.2,0,195,0.2,0,195,0.2,0
NET07,Glenn Innes-Guyra Basalts,NSW,277299,993,0.36,0,1006,0.36,0,1006,0.36,0
NET08,Ebor Basalts,NSW,35709,3720,10.42,0,3720,10.42,0,3720,10.42,0
NET09,Moredun Volcanics,NSW,117461,5220,4.44,0,5220,4.44,0,5220,4.44,0
